Var_Name,Var_Text
COURTS,YCOURTS DEALING WITH CRIMINALS-VERSION Y
REALINC,FAMILY INCOME IN CONSTANT $
RACE,CEN2WHAT IS RS RACE 2ND MENTION
RELHHD8,RELATION OF 8TH PERSON TO HOUSEHOLD HEAD
SCIFROM,MAIN SOURCE OF INFORMATION ABOUT SCIENCE AND TECHNOLOGY
GOODLIFE,STANDARD OF LIVING OF R WILL IMPROVE
MAIND10,MOTHERS INDUSTRY CODE (NAICS 2007)
NOGO1,PERFORMANCE OR EXHIBIT
RELHHD7,RELATION OF 7TH PERSON TO HOUSEHOLD HEAD
WKWKENDS,DO YOU WORK WEEKENDS
BIGBANG2,UNIVERSE EXPANDING SINCE IT BEGAN: TRUE OR FALSE
RACE,THMNWHAT RACE/ETH IS OTHER REFERRING TO
WORRYJOB,DO YOU WORRY ABOUT LOSING JOB                 
NATFARE,YASSISTANCE TO THE POOR -- VERSION Y
NUMWOMEN,NUMBER OF FEMALE SEX PARTNERS SINCE 18
WWWMIN,OMINUTES PER WEEK USING OTHER COMPUTER WWW
INTJOB,IMPORTANCE OF INTERESTING WORK IN A JOB
AGE,WEDAGE WHEN FIRST MARRIED
RACE,THBLPOINTS ASSIGNED TO BLACK/AFRICAN AMERICAN
PHASE,SUBSAMPLING: TWO-PHASE DESIGN.
ADVSCHED,HOW FAR IN ADVANCE DO YOU SCHEDULE WORK
HSCHEM,R EVER TOOK A HIGH SCHOOL CHEMISTRY COURSE
CONINC,FAMILY INCOME IN CONSTANT DOLLARS
NATHEAL,IMPROVING & PROTECTING NATIONS HEALTH
SPARMS,GOVT SPENDING ON DEFENSE
COSECTOR,TYPE OF COLLEGE PARTNER ATTENDED
NATAIDY,ASSISTANCE TO OTHER COUNTRIES -- VER Y
JOBFIND,1HOW EASY FOR R TO FIND A SAME JOB
RELIG,5RELIGIOUS PREFERENCE OF PERSON #5
EVOLVED,1HUMANS DEVELOPED FROM EARLIER SPECIES: TRUE OR FALSE
NUKEGEN,NUKE POWER DANGER TO ENVIR   
INTINTL,INTERESTED IN INTERNATIONAL ISSUES
RELIG,4RELIGIOUS PREFERENCE OF PERSON #4
RELIG16,RELIGION IN WHICH RAISED
PASEI10EDUC,PERCENTAGE OF SOME COLLEGE EDUC IN PAOCC10 BASED ON ACS 2010
ABNOMORE,MARRIED--WANTS NO MORE CHILDREN
MAJORCOL,THE FIELD OF DEGREE R EARNED
SEEKSCI,PROBABLE SOURCE OF INFORMATION ABOUT SCIENTIFIC ISSUES
NEWS,FROMMAIN SOURCE OF INFORMATION ABOUT EVENTS IN THE NEWS
SEXSEX,5SEX OF SEX PARTNERS LAST FIVE YEARS
CORRUPT1,OPINION OF CORRUPTION BY POLITICIAN
MOVEAWAY,I WOULD MOVE OUTSIDE THE USA FOR WORK
AGE3,AGE OF PERSON #3
ARTWHY8,WAS THERE ANOTHER MAJOR REASON IN DECISION TO ATTEND EXHIBIT
AWAY7,IS 7TH PERSON STAYING SOMEWHERE ELSE NOW?
RELIG,1RELIGIOUS PREFERENCE OF PERSON #1
VERSION,VERSION OF QUESTIONNAIRE
THNKSELF,TO THINK FOR ONES SELF
PAIND10,FATHERS INDUSTRY CODE (NAICS 2007)
MAPRES10,MOTHER'S OCCUPATIONAL PRESTIGE SCORE (2010)
EMAILHR,EMAIL HOURS PER WEEK
SEXORNT,SEXUAL ORIENTATION
ACQNTSEX,R HAD SEX WITH ACQUAINTANCE LAST YEAR
SPEDUC,"HIGHEST YEAR SCHOOL COMPLETED, SPOUSE"
OTH16,OTHER PROTESTANT DENOMINATIONS
GETJOB,HOW LIKELY YOU WOULD FIND A JOB               
POLINT,EREXPRESSED POLITICAL VIEWS ON INTERNET PAST YEAR
RELATE1,3RELATION OF 13TH PERSON (VISITOR) TO HEAD
RPLACE,R'S RELATIONSHIP TO HOUSEHOLD HEAD
NATCRIMY,LAW ENFORCEMENT -- VERSION Y
SPKLANG,1WHAT LANGUAGE(S) DO YOU SPEAK WELL?             
PRFMCOST,DID NOT GO DUE TO COST
VOEDNCOL,NON-COLLEGE POSTSECONDARY EDUCATION (VOEDNME2)
HOPE2,I AM ENERGETICALLY PURSUING MY GOALS
ODDS2,TEST OF KNOWLEDGE ABOUT PROBABLITY2
WHERE1,2WHERE IS 12TH PERSON (VISITOR) STAYING?
WORDF,WORD F
MAR12,MARITAL STATUS OF 12TH PERSON (VISITOR)
ARTWHY2,IMP OF WANTING TO EXPERIENCE HIGH QUALITY ART IN DECISION TO ATTEND EXHIBIT
AWAY1,0IS 10TH PERSON STAYING SOMEWHERE ELSE NOW?
SUIYRS2,HOW MANY YEARS SINCE 2ND CLOSEST SUICIDE
SCIENTOD,SCIENTISTS ODD AND PECULIAR
PRFMATT,3ATTENDED WITH FRIEND
MARTYPE,MARITAL TYPE
RELIG,RS RELIGIOUS PREFERENCE
SPKATH,ALLOW ANTI-RELIGIONIST TO SPEAK
TEMPWORK,I WOULD ACCEPT TEMPORARY EMPLOYMENT
PRFMWHY8,IMP OF SPECIFIC INDIVID PERFORMER IN DECISION TO ATTEND PERF
SCINEWS1,NEWSPAPER PRINTED OR ONLINE
OLD7,AGE OF 7TH PERSON
NATARMS,"MILITARY, ARMAMENTS, AND DEFENSE"
GENDER1,4GENDER OF 14TH PERSON (VISITOR)
EDUC,30R USE EDUCATION SITE IN PAST 30 DAYS
BIGBANG,2UNIVERSE EXPANDING SINCE IT BEGAN: TRUE OR FALSE
RINCOME,RESPONDENTS INCOME
OLD1,0AGE OF 1OTH PERSON
TAX,SHARESHOULD RICH PAY BIGGER SHARE OF TAXES?
HOTCORE,SCI KNOWLEDGE: THE CENTER OF EARTH IS VERY HOT
TAXPAID,DO AUTHORITIES ENSURE TAXES ARE PAID
SNSMOT2C,THIRD OTHER SOCIAL NETWORK
OBEYLAW,SHOULD PEOPLE OBEY LAWS WITHOUT EXCEPTN?
WORDJ,WORD J
SUINEG2,DID 2ND CLOSEST SUICIDE NEGATIVELY IMPACT YOU
DIVORCE,EVER BEEN DIVORCED OR SEPARATED
PRFMTRVL,DID NOT GO BECAUSE TOO DIFICULT TO GET THERE
RELSP4,RELATIONSHIP OF PERSON 4 TO SPOUSE OF HOUSEHOL
PISTOL,PISTOL OR REVOLVER IN HOME
INTID,INTERVIEWER ID
SPOCC10,SPOUSE CENSUS OCCUPATION CODE (2010)
RACE,CEN1WHAT IS RS RACE 1ST MENTION
TEENSEX,SEX BEFORE MARRIAGE -- TEENS 14-16
NOGO,PERF OR EXHIBIT R WANTED TO GO TO IN PAST 12 MONTHS BUT DID NOT
ATTEND,MAFREQ OF R'S MOM'S RELIG SVC ATTENDANCE
CESD3,HOW MUCH TIME FELT HAPPY IN PAST WK
GUNLAW,FAVOR OR OPPOSE GUN PERMITS
HUNT,FISHWENT HUNTING OR FISHING IN LST YR  
POLEFF13,HAVE A PRETTY GOOD UNDERSTANDING OF ISSUES              
AGE,DSHOULD AGED LIVE WITH THEIR CHILDREN
COHRS2,NO. OF HOURS PARTNER USUALLY WORKS A WEEK
GENDER3,GENDER OF 3RD PERSON
ID,RESPONDENT ID NUMBER                                
ATTEND,12FREQ OF R'S RELIG SVC ATTENDANCE AT AGE 12
AIDINDUS,GOVTS RESP: ASSIST INDUSTRIAL GROWTH
RELATE14,RELATION OF 14TH PERSON (VISITOR) TO HEAD
NEWS,30R USE NEWS SITE IN PAST 30 DAYS
DEGREE,RS HIGHEST DEGREE
GENDER8,GENDER OF 8TH PERSON
MAR11,MARITAL STATUS OF 11TH PERSON (VISITOR)
SKLTRAIN,R HAD JOB SKILL TRAINING IN THE  PAST 12 MONTHS
BORN,WAS R BORN IN THIS COUNTRY
GOVTINFO,SHOULD GOVT INFO BE PUBLIC
ZODIAC,RESPONDENTS ASTROLOGICAL SIGN
SNSMOT2A,FIRST OTHER SOCIAL NETWORK
MATESEX,WAS 1 OF RS PARTNERS SPOUSE OR REGULAR
GRASS,SHOULD MARIJUANA BE MADE LEGAL
CHEMGEN,PESTICIDES DANGER TO ENVIR   
GRASS,YSHOULD MARIJUANA BE LEGAL-VERSION Y
FAIR,EARNHOW FAIR IS WHAT R EARN ON THE JOB
RACE,THNAPOINTS ASSIGNED TO NATIVE AMERICAN/AMERICAN INDIAN
RES16,1WHERE SPEND CHILDHOOD UNTIL AGE 16?  
ECONSUP1,MAIN SOURCE OF ECONOMIC SUPPORT
FEAR,AFRAID TO WALK AT NIGHT IN NEIGHBORHOOD
SEX,ORNTSEXUAL ORIENTATION
NATCITY,ZSOLVING PROBLEMS OF BIG CITIES -- VER Z
RELHH2,RELATIONSHIP OF PERSON 2 TO HEAD OF HOUSEHOLD
AWAY5,IS 5TH PERSON STAYING SOMEWHERE ELSE NOW?
SPPRES105PLUS,SPOUSE OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
OLD11,AGE OF 11TH PERSON (VISITOR)
RELATE12,RELATION OF 12TH PERSON (VISITOR) TO HEAD
WKPERSNL,IMPORTANCE OF PERSONAL CONTACT AT WORK
TAX,MIDTAXES ON MIDDLE INCOME PEOPLE TOO HIGH
RELHHD9,RELATION OF 9TH PERSON TO HOUSEHOLD HEAD
WHERE13,WHERE IS 13TH PERSON (VISITOR) STAYING?
ARTATT3,ATTENDED WITH FRIEND
NOUNEMP6,I WOULD MOVE OUTSIDE THE USA FOR WORK
PASEI10,INCPERCENTAGE OF $45K+ EARNERS IN PAOCC10 BASED ON ACS 2010
POLESCAP,CITIZEN ATTEMPTING TO ESCAPE CUSTODY
ABDEFECT,STRONG CHANCE OF SERIOUS DEFECT
COLSCI,NMNUMBER OF COLLEGE-LEVEL SCI COURSES R HAVE TAKEN
NATARMS,YNATIONAL DEFENSE -- VERSION Y
ARTATT5,ATTENDED WITH OTHER
OBEYLAW,SHOW IMPORTANT ALWAYS TO OBEY LAWS  
FAMINTJB,HOW OFTEN R FELT: DEMAND OF FAMILY LIFE INTERFERE WITH JOB
VOEDNME2,POSTSECONDARY INSTITUTION ATTENDED FOR CREDIT
PRVDHLTH,WHO PROVIDES FOR SICK PEOPLE
COEDUC,"HIGHEST YEAR SCHOOL COMPLETED, PARTNER"
AWAY2,IS 2ND PERSON STAYING SOMEWHERE ELSE NOW?
COOP,RS ATTITUDE TOWARD INTERVIEW
GOOGLESN,USE GOOGLESN
INDUS10,RS INDUSTRY CODE (NAICS 2007)
RELHHD6,RELATION OF 6TH PERSON TO HOUSEHOLD HEAD
SEX,PROMOSEX MAKES YOUR PROMOTION DIFFERENT
TWITTER,USE TWITTER
AGE,AGE OF RESPONDENT
HRS2,NUMBER OF HOURS USUALLY WORK A WEEK
INTMED,INTERESTED IN MEDICAL DISCOVERIES
EFTOTLT,TOTAL NUMBER OF STUDENTS ENROLLED IN COLLEGE RESPONDENT ATTENDED
PAPRES105PLUS,FATHER'S OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
MOBILE16,GEOGRAPHIC MOBILITY SINCE AGE 16
COWRKSLF,PARTNER SELF-EMP. OR WORKS FOR SOMEBODY ELSE
SIZE,SIZE OF PLACE IN 1000S
PRFMOTHR,OTHER REASON WHY DID NOT GO
COMPUSE,R USE COMPUTER
SPPOLICE,GOVT SPENDING ON LAW ENFORCEMENT
HIVTEST1,IN WHAT MONTH AND YEAR WAS YOUR LAST HIV TEST
CONLABOR,CONFIDENCE IN ORGANIZED LABOR
CONLEGIS,CONFIDENCE IN CONGRESS
NATSCI,SUPPORTING SCIENTIFIC RESEARCH        
HEALTH,30R USE HEALTH SITE IN PAST 30 DAYS
IF12WHO,WHO WOULD R HAVE VOTED FOR IN 2012 ELECTION
LESSREG,LESS GOVT REGULATION OF BUSINESS
NOUNEMP5,I WOULD MOVE WITHIN THE USA FOR WORK
PREMARSX,SEX BEFORE MARRIAGE
CONCLERG,CONFIDENCE IN ORGANIZED RELIGION
DATEINTV,DATE OF INTERVIEW
WHERE4,WHERE IS 4TH PERSON STAYING?
SUITIME2,HOW MANY YEARS AND MONTHS SINCE 2ND CLOSEST SUICIDE
VOTE12,DID R VOTE IN 2012 ELECTION
AGE,3AGE OF PERSON #3
BALNEG,SCI RESEARCH IS STRONGLY IN FAVOR OF HARMFUL RESULTS
HELPNOT,SHOULD GOVT DO MORE OR LESS?
ID,ECIDEMY JOB ALLOWS ME MAKE PART DECISIONS
PRFMWHY7,IMP OF LOCATION IN DECISION TO ATTEND PERF
SECJOB,IMPORTANCE OF JOB SECURITY IN A JOB
ATTEND,HOW OFTEN R ATTENDS RELIGIOUS SERVICES
RACE,THOTPOINTS ASSIGNED TO OTHER
RELHH1,2RELATIONSHIP OF PERSON 12 TO HEAD OF HOUSEHOLD
SPWRKSTA,SPOUSE LABOR FORCE STATUS
SOCBAR,SPEND EVENING AT BAR
HAPCOHAB,HAPPINESS OF RELT WITH PARTNER
GENDER9,GENDER OF 9TH PERSON
GENDER1,GENDER OF 1ST PERSON
AWAY6,IS 6TH PERSON STAYING SOMEWHERE ELSE NOW?
INTLBLKS,UNINTELLIGENT - INTELLIGENT
OLD1,1AGE OF 11TH PERSON (VISITOR)
FORM,WTWEIGHT DEAL WITH EXPERIMENTAL RANDOMIZATION
AGE,KDBRNR'S AGE WHEN 1ST CHILD BORN
MAR13,MARITAL STATUS OF 13TH PERSON (VISITOR)
BIBLE,YFEELINGS ABOUT THE BIBLE -- VERSION Z
DENOM,SPECIFIC DENOMINATION
EDUC,1EDUCATION LEVEL OF PERSON #1
DISCWK5,DISCRIMINATION AT WORK IN PAST 5 YRS
FEAR,HOMEDOES R FEEL SAFE AND SECURE AT HOME
RACE,2RACE OF PERSON NUMBER 2
CONRINC,RESPONDENT INCOME IN CONSTANT DOLLARS
RACE,4RACE OF PERSON NUMBER 4
SUICLSE1,HOW CLOSE WERE YOU TO CLOSEST SUICIDE VICTIM
CHILDS,NUMBER OF CHILDREN
OLD14,AGE OF 14TH PERSON (VISITOR)
SATJOB,1JOB SATISFACTION IN GENERAL
BIGBANG1,UNIVERSE BEGAN WITH A BIG EXPLOSION: TRUE OR FALSE
RELIG,KIDRELIGION R WAS RAISED IN
MAR6,MARITAL STATUS OF 6TH PERSON
NEXTGEN,SCIENCE & TECH. GIVE MORE OPPORTUNITIES TO NEXT GENERATION
CLOSEWHT,HOW CLOSE FEEL TO WHITES  
VETYEARS,YEARS IN ARMED FORCES
WWWMIN,WMINUTES PER WEEK USING WORK COMPUTER WWW
INCOME,91TOTAL FAMILY INCOME
PRFMDAN,WAS IT A DANCE PERFORMANCE
DISCAFF,WA WOMAN WON'T GET A JOB OR PROMOTION             
RES16,TYPE OF PLACE LIVED IN WHEN 16 YRS OLD
RELHH3,RELATIONSHIP OF PERSON 3 TO HEAD OF HOUSEHOLD
CLASS,ICLLIKE OR DISLIKE CLASSICAL MUSIC  
NATCITY,YASSISTANCE TO BIG CITIES -- VERSION Y
RANK,RS SELF RANKING OF SOCIAL POSITION
RHLPSOC,RS JOB IS USEFUL TO SOCIETY
SAVEJOBS,GOVT SUPPORT FOR DECLINING INDUSTRIES
HOMPOP,NUMBER OF PERSONS IN HOUSEHOLD
MORTRAVL,I WOULD ACCEPT A LONGER COMMUTE
NOUNEMP3, R WOULD ACCEPT TEMPORARY EMPLOYMENT TO AVOID UNEMPLOYMENT
LNGTHINV,HOW LONG WAS INTERVIEW
SEI10EDUC,PERCENTAGE OF SOME COLLEGE EDUC IN OCC10 BASED ON ACS 2010
TEENS,EXSEX BEFORE MARRIAGE -- TEENS 14-16
PROUDWRK,I AM PROUD OF THE TYPE OF WORK I DO
PRAYER,BIBLE PRAYER IN PUBLIC SCHOOLS
AGED,PARSHOULD AGED LIVE WITH THEIR CHILDRENAGEDCHLDSHOULD GROWN CHILDREN LIVE WITH PARENTSWEEKSWRKWEEKS R. WORKED LAST YEAR
RACETHWH,POINTS ASSIGNED TO WHITE
PUBAGNCY,REGISTERED AT A PUBLIC EMPLOYMENT AGENCY      
WKSUP,DOES R OR SPOUSE SUPERVISE ANYONE
TRUST,CRTWOULD TRUST THE COURTS                  
CONDOM,USED CONDOM LAST TIME  
RPROMOTN,R HAS OPPORTUNITY TO ADVANCE
RACLIVE,ANY OPP. RACE IN NEIGHBORHOOD
OVERSAMP,WEIGHTS FOR BLACK OVERSAMPLES
UNION,SOKHOW GOOD UNION FOR THE COUNTRY
BRNOTAX,DO PRIVATE COMPANIES AVOID TAXES
POLVIEWS,THINK OF SELF AS LIBERAL OR CONSERVATIVE
RELHHD12,RELATION OF 12TH PERSON (VISITOR) TO HEAD
XNORCSIZ,EXPANDED NORC. SIZE CODE
BALPOS,SCI RESEARCH IS STRONGLY IN FAVOR OF BENEFITS
HSBIO,R EVER TOOK A HIGH SCHOOL BIOLOGY COURSE
MAR2,MARITAL STATUS OF 2ND PERSON
NOUNEMP4, R WOULD ACCEPT TRAVEL LONGER TO WORK TO AVOID UNEMPLOYMENT
AWAY1,1IS 11TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
OLD9,AGE OF 9TH PERSON
DISCAFFW,A WOMAN WON'T GET A JOB OR PROMOTION             
RACETHNA,POINTS ASSIGNED TO NATIVE AMERICAN/AMERICAN INDIAN
VISNHIST,HOW OFTEN R VISITED NATURAL HISTORY MUSEUM LAST YEAR
ARTWHY7,IMP OF LOCATION IN DECISION TO ATTEND EXHIBIT
NATFARE,ZCARING FOR THE POOR -- VERSION Z
RACDIF2,DIFFERENCES DUE TO INBORN DISABILITY
GOD,LVDIRFEEL GODS LOVE FOR R DIRECTLY
PRFMATT,5ATTENDED WITH OTHER
FACEBOOK,USE FACEBOOK
LOTR1,IN UNCERTAIN TIMES I USUALLY EXPECT BEST
INTSCI,INTERESTED IN NEW SCIENTIFIC DISCOVERIES
NATAID,FOREIGN AID
RELPERSN,R CONSIDER SELF A RELIGIOUS PERSON    
ARTATT1,ATTENDED WITH SPOUSE OR PARTNER
POLMURDR,CITIZEN QUESTIONED AS MURDER SUSPECT
HRSMONEY,R PREFERENCE RE: WORK HRS AND MONEY
ADFORJOB,ADVERTISED FOR A JOB IN NEWSPAPERS            
PRFMWHY6,IMP OF WANTING TO LEARN IN DECISION TO ATTEND PERF
PRFMFREE,WAS PERFORMANCE ATTENDED FREE
WKSUP,1DOES R OR SPOUSE OR PARTNER SUPERVISE ANYONE
FEJOBAFF,FOR OR AGAINST PREFERENTIAL HIRING OF WOMEN      
SPFUND,HOW FUNDAMENTALIST IS SPOUSE CURRENTLY
OLD8,AGE OF 8TH PERSON
WWWHR,HHOURS PER WEEK USE COMPUTER WWW
XMARSEX,1IS EXTRAMARITAL SEX WRONG?
WANTJOB2,WOULD LIKE TO HAVE A JOB NOW OR IN THE FUTURE  
JBINTFAM,HOW OFTEN R FELT: DEMAND OF JOB INTERFERE WITH FAMILY LIFE
INTSPACE,INTERESTED IN SPACE EXPLORATION
SPSECTOR,TYPE OF COLLEGE SPOUSE ATTENDED
GVINFLU2,WHAT PEO OR ORG HAVE 2ND MOST INF
PARTNERS,HOW MANY SEX PARTNERS R HAD IN LAST YEAR
SEX,5SEX OF PERSON NUMBER 5
SPHRS2,NO. OF HRS SPOUSE USUALLY WORKS A WEEK
SNSMOT2B,SECOND OTHER SOCIAL NETWORK
SPDEN,16DENOMINATION IN WHICH SPOUSE RAISED
RELATSEX,RELATION TO LAST SEX PARTNER
ID,OLSCATHOLICS ARE IDOLS
JOBSAT,HOW SATISFIED IS R WITH HIS/HER JOB
OWNGUN,HAVE GUN IN HOME
UNION,1DOES R OR SPOUSE OR PARTNER BELONG TO UNION
MAISCO88,"R'S MOTHER'S OCCUPATION, 1980 CENSUS & 1988 ISCO CODE"
OBEY,TO OBEY
NANOHARM,BALANCE WILL BE STRONGLY IN FAVOR OF THE BENEFITS OR SLIGHTLY
DWELOWN,DOES R OWN OR RENT HOME?
NATEDUC,ZIMPROVING THE EDUCATION SYSTEM -- VER Z
NATHEAL,ZIMPROVING HEALTH -- VERSION Z
EDUC,5EDUCATION LEVEL OF PERSON #5
RELIG,30R USE RELIGION SITE IN PAST 30 DAYS
BARATE,RATE OF BA DEGREE EARNING IN COLLEGE RESPONDENT ATTENDED
CLOSEBLK,HOW CLOSE FEEL TO BLACKS  
USUALHRS,HOW MANY HRS/WEEK DO YOU USUALLY WORK
FAMGEN,NUMBER OF FAMILY GENERATIONS IN HOUSEHOLD
BOYORGRL,SCI KNOWLEDGE: FATHER GENE DECIDES SEX OF BABY
LIBMSLM,ALLOW ANTI-AMERICAN MUSLIM CLERGYMEN'S BOOKS IN LIBRARY
LIFE,IS LIFE EXCITING OR DULL
HOPE1,I COULD GET OUT OF A JAM
WKSUP,SDOES SUBORDINATE SUPERVISE ANYONE
GOD,LOVEFEEL GODS LOVE DIRECTLY OR THRU OTHERS        
TAX,SPENDCHOICE BETWEEN REDUCING TAXES OR SPENDING MORE          
PRAY,FREQHOW OFTEN DOES R PRAY
SPKLANG,HOW WELL DOES R SPEAK OTHER LANGUAGE
OTHER,4PERSON #4 IS OTHER TYPE OF ACQUAINTANCE
HELPORG1,WILLING TO WORK HARDER FOR THE FIRM
WORDA,WORD A
JBTRAIN,DID R HAVE ANY TRAINING TO IMPROVE JOB SKILL PAST 12 MONTHS
AGE,4AGE OF PERSON #4
PRFMMUS,WAS IT A MUSIC PERFORMANCE
UNRELAT,NUMBER IN HOUSEHOLD NOT RELATED
EXTRAWRK,DID YOU WORK MULTIPLE JOBS IN PAST YR
INCOME,82TOTAL FAMILY INCOME
MASEI10,INCPERCENTAGE OF $45K+ EARNERS IN MAOCC10 BASED ON ACS 2010
UNEMP,EVER UNEMPLOYED IN LAST TEN YRS
WHERE2,WHERE IS 2ND PERSON STAYING?
PROMOTN,GPROCEDURES FOR PROMOTION
OLD1,2AGE OF 12TH PERSON (VISITOR)
PRFMWHY5,IMP OF WANTING TO SUPPORT COMMUNITY IN DECISION TO ATTEND PERF
SCITEXT,WHAT IT MEANS TO R TO STUDY SCIENTIFICALLY
WRKGOVT,GOVT OR PRIVATE EMPLOYEE
RACE,5RACE OF PERSON NUMBER 5
FAIR,JEWSJEWS COMMITTED TO FAIR AND EQUAL TREATMENT OF A
SPPRES10,5PLUSSPOUSE OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
GENDER2,GENDER OF 2ND PERSON
LOWPAY,I WOULD ACCEPT JOB FOR LOWER PAY
RELHHD5,RELATION OF 5TH PERSON TO HOUSEHOLD HEAD
SPOTHER,OTHER PROTESTANT DENOMINATIONS
CESD1,HOW MUCH TIME FELT DEPRESSED IN PAST WK
HEFINFO,NUMBER OF HEF INFORMANT
NOGO,ODAT TIMES I THINK I AM NO GOOD AT ALL
RELHHD1,4RELATION OF 14TH PERSON (VISITOR) TO HEAD
MAOCC10,MOTHERS CENSUS OCCUPATION CODE (2010)
ABRAPE,PREGNANT AS RESULT OF RAPE
SNSMFRST,WHICH SOCIAL NETWORK DID YOU JOIN FIRST
FEPOL,YMEN OR WOMEN BETTER SUITED FOR POLITICS
SPKLANG,2WHAT LANGUAGE(S) DO YOU SPEAK WELL?             
WHERE3,WHERE IS 3RD PERSON STAYING?
STRESS,HOW OFTEN DOES R FIND WORK STRESSFUL
PADEG,FATHERS HIGHEST DEGREE
INTECON,INTERESTED IN ECONOMIC ISSUES
SNSMOTH1,DO YOU USE ANY OTHER SOCIAL NETWORKS
WHERE11,WHERE IS 11TH PERSON (VISITOR) STAYING?
WRKSLF,STR 1ST JOB: SELF-EMPLOYED OR NO?
MAR1,4MARITAL STATUS OF 14TH PERSON (VISITOR)
AGEKDBRN,R'S AGE WHEN 1ST CHILD BORN
INCOME,72TOTAL FAMILY INCOME
MARBLK,CLOSE RELATIVE MARRY BLACK
TUMBLR,USE TUMBLR
RELACTIV,1HOW OFTEN DOES R TAKE PART IN RELIG ACTIVITIES
YEAR,LYWHAT IS YOUR YEARLY WAGE BEFORE TAX           
SATJOB,7JOB SATISFACTION IN GENERAL
NATRACEY,ASSISTANCE TO BLACKS -- VERSION Y
OCC10,RS CENSUS OCCUPATION CODE (2010)
VOEDNME1,POSTSECONDARY INSTITUTION ATTENDED FOR CREDIT
PASEI10INC,PERCENTAGE OF $45K+ EARNERS IN PAOCC10 BASED ON ACS 2010
SPANINT,"IF NO SPANISH, R COULD HAVE BEEN INTERVIEWED IN ENGLISH"
RELIG,16RELIGION IN WHICH RAISED
AGE,WEDCRRS AGE AT CURRENT MARRIAGE
VSTRAT,VARIANCE STRATUM
SEX,2SEX OF PERSON NUMBER 2
CESD5,HOW MUCH TIME FELT SAD IN PAST WK
NEWS,12PAST 12 MONTHS R WEB TO LEARN NEWS
SPHRS1,NUMBER OF HRS SPOUSE WORKED LAST WEEK
LIBATH,ALLOW ANTI-RELIGIOUS BOOK IN LIBRARY
INCOME,98TOTAL FAMILY INCOME
INCOM16,RS FAMILY INCOME WHEN 16 YRS OLD
MODE,INTERVIEW DONE IN-PERSON OR OVER THE PHONE
HUNT,1DOES R OR SPOUSE OR PARTNER HUNT
RELSP10,RELATIONSHIP OF PERSON 10 TO SPOUSE OF HOUSEHO
