Var_Name,Var_Text
LENTTO,LENT MONEY TO ANOTHER PERSON PAST 12 MONTHS
GENDER8,GENDER OF 8TH PERSON
MAR1,4MARITAL STATUS OF 14TH PERSON (VISITOR)
RELACTIV,HOW OFTEN DOES R TAKE PART IN RELIG ACTIVITIES
VSTRAT,VARIANCE STRATUM
MARTYPE,MARITAL TYPE
FEPOL,YMEN OR WOMEN BETTER SUITED FOR POLITICS
SEXSEX5,SEX OF SEX PARTNERS LAST FIVE YEARS
PATRIOT4,PATRIOTIC FEELINGS LEAD TO NEGATIVE FEELINGS TOWARDS IMMIGRANTS
GENDER5,GENDER OF 5TH PERSON
MARHISP,CLOSE RELATIVE MARRY HISPANIC
NATMASS,MASS TRANSPORTATION
OTHLANG,1WHAT OTHER LANGUAGES DOES R SPEAK
POSSLQ,DOES R HAVE MARITAL PARTNER
AWAY1,1IS 11TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
MAEDUC,"HIGHEST YEAR SCHOOL COMPLETED, MOTHER"
WLTHWHTS,RICH - POOR
MODE,INTERVIEW DONE IN-PERSON OR OVER THE PHONE
SEX,RESPONDENTS SEX
WORDE,WORD E
CLSEUSA,HOW CLOSE DO YOU FEEL TO AMERICA  
VERSION,VERSION OF QUESTIONNAIRE
PAPRES105PLUS,FATHER'S OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
DIRECTNS,R HAS GIVEN DIRECTIONS TO A STRANGER
NEWS,HOW OFTEN DOES R READ NEWSPAPER
WHERE11,WHERE IS 11TH PERSON (VISITOR) STAYING?
WKDECIDE,HOW OFTEN R TAKE PART IN DECISIONS
UNION,DOES R OR SPOUSE BELONG TO UNION
WAYPAID,HOW PAID IN MAIN JOB
NATCITY,ZSOLVING PROBLEMS OF BIG CITIES -- VER Z
MAR1,2MARITAL STATUS OF 12TH PERSON (VISITOR)
EVOLVED,2ELEPHANTS EVOLVED FROM EARLIER SPECIES: TRUE OR FALSE
GOD,GUIDEFEEL GUIDED BY GOD IN DAILY ACTIVITIES
FEPRESCH,PRESCHOOL KIDS SUFFER IF MOTHER WORKS
OBEYLAWS,HOW IMPORTANT ALWAYS TO OBEY LAWS  
PAEDUC,"HIGHEST YEAR SCHOOL COMPLETED, FATHER"
POPESPKS,POPE IS INFALLIBLE ON MATTERS OF FAITH OR MORALS
RIFLE,S50SHOULD HIGH POWER RIFLE SALE BE LIMITED TO MILITARY
NATFARE,WELFARE
HISPANIC,HISPANIC SPECIFIED
CHILDS,NUMBER OF CHILDREN
GRASS,SHOULD MARIJUANA BE MADE LEGAL
KNOWSCHD,HOW FAR IN ADVANCE KNOW WORK SCHEDULE
AGE,WEDAGE WHEN FIRST MARRIED
EQWLTH,SHOULD GOVT REDUCE INCOME DIFFERENCES
POLHITOK,EVER APPROVE OF POLICE STRIKING CITIZEN
RELIG,INTRELIGIOUS PEOPLE ARE OFTEN TOO INTOLERANT     
SELFLESS,R FEELS LIKE A SELFLESS CARING FOR OTHERS
OBEY,TCHIMPORTANT TO OBEY CHURCH TEACHINGS
RACE,DBTFCERTAINTY OF OBSERVED RACE
ASTROLGY,EVER READ A HOROSCOPE OR PERSONAL ASTROLOGY REPORT
SOLARREV,SCI KNOWLEDGE: HOW LONG THE EARTH GOES AROUND THE SUN
SPDEN,16DENOMINATION IN WHICH SPOUSE RAISED
RELHH14,RELATIONSHIP OF PERSON 14 TO HEAD OF HOUSEHOLD
COWRKHLP,COWORKERS CAN BE RELIED ON WHEN R NEEDS HELP
SELFFRST,PEOPLE NEED NOT OVERLY WORRY ABOUT OTHERS
POLESCAP,CITIZEN ATTEMPTING TO ESCAPE CUSTODY
RELATE4,RELATIONSHIP OF 4TH PERSON TO HOUSEHOLD HEAD
FEJOBAFF,FOR OR AGAINST PREFERENTIAL HIRING OF WOMEN      
FAIR,EARNHOW FAIR IS WHAT R EARN ON THE JOB
DWELLING,TYPE OF STRUCTURE
ETH2,2ND MENTIONED COUNTRY OF ORIGIN                     
OVERSAMP,WEIGHTS FOR BLACK OVERSAMPLES
RESPECT,R TREATED WITH RESPECT AT WORK
SPHRS2,NO. OF HRS SPOUSE USUALLY WORKS A WEEK
TEENSEX,1MORALITY OF TEENS HAVING SEX
NATRACEY,ASSISTANCE TO BLACKS -- VERSION Y
BALPOS,SCI RESEARCH IS STRONGLY IN FAVOR OF BENEFITS
CSHUTYP12,"DURING APRIL-JUNE 2012, WAS R RESIDENT IN HOUSEHOLD OR INSTITUTION"
MAR2,MARITAL STATUS OF 2ND PERSON
NEWS,KILLI WOULD ACCEPT JOB THAT REQUIRES NEW SKILLS
VISITORS,NUMBER OF VISITORS IN HOUSEHOLD
AGE,WEDCRRS AGE AT CURRENT MARRIAGE
WKSUPS,DOES SUBORDINATE SUPERVISE ANYONE
SPEVWORK,SPOUSE EVER WORK AS LONG AS A YEAR
SATFIN,SATISFACTION WITH FINANCIAL SITUATION
ID,RESPONDENT ID NUMBER                                
WTSSALL,WEIGHT VARIABLE
ABSINGLE,NOT MARRIED
CONFINAN,CONFID IN BANKS & FINANCIAL INSTITUTIONS
MAR8,MARITAL STATUS OF 8TH PERSON
RELSP1,RELATIONSHIP OF PERSON 1 TO SPOUSE OF HOUSEHOL
WORDD,WORD D
MAR12,MARITAL STATUS OF 12TH PERSON (VISITOR)
DEPRESS,TOLD HAVE DEPRESSION
PRAYER,XBIBLE PRAYER IN SCHOOLS -- VERSION Z
WRKSLF,STR 1ST JOB: SELF-EMPLOYED OR NO?
PRES12,VOTE OBAMA OR ROMNEY
EQWLTH,YGOVT REDUCE INCOME DIFFERENCES-VERSION Y
RELIG,5RELIGIOUS PREFERENCE OF PERSON #5
BABIES,HOUSEHOLD MEMBERS LESS THAN 6 YRS OLD
REGION,REGION OF INTERVIEW
EVPAIDSX,EVER HAVE SEX PAID FOR OR BEING PAID SINCE 18
GENDER7,GENDER OF 7TH PERSON
SPVTRFAIR,SUPERVISOR IS FAIR
TRDUNION,WORKERS NEED STRONG UNIONS
PAISCO88,"R'S FATHER'S OCCUPATION, 1980 CENSUS & 1988 ISCO CODE"
ACTLAW,HOW LIKELY R TO DO SOMETHING IF UNJUST LAW BEING CONS
AMSHAMED,AGREE THERE ARE THINGS MAKE ME ASHAMED  
EMAILMIN,EMAIL MINUTES PER WEEK
PROUDGRP,HOW PROUD ITS FAIR AND EQUAL TREATMENT  
INTRACE3,INTERVIEWER S RACE3
NATDRUG,DEALING WITH DRUG ADDICTION
RELATE1,3RELATION OF 13TH PERSON (VISITOR) TO HEAD
PHONE,DOES R HAVE TELEPHONE
WTSS,NRWEIGHT VARIABLE
AMLIVED,HOW IMPORTANT TO HAVE LIVED IN AMERICA FOR LIFE  
LOCALNUM,NUMBER OF EMPLOYEES: RS WORK SITE
AMANCSTR,HOW IMPORTANT TO HAVE AMERICAN ANCESTRY 
RELHH1,4RELATIONSHIP OF PERSON 14 TO HEAD OF HOUSEHOLD
SPKHOMO,ALLOW HOMOSEXUAL TO SPEAK
LESSPRD,AGREE OFTEN LESS PROUD OF AMERICA 
PARSOL,RS LIVING STANDARD COMPARED TO PARENTS
RELSP11,RELATIONSHIP OF PERSON 11 TO SPOUSE OF HOUSEHO
CITWORLD,I AM A CITIZEN OF THE WORLD
FORM,FORM OF SPLIT QUESTIONNAIRE ASKED
COMPWAGE,ANNUAL WAGES IN PREVIOUS YEAR WERE HIGHER THAN SAME JOBS IN OTHER COMPANIES
RACE,SELFR'S OWN RACIAL ID
RELHH5,RELATIONSHIP OF PERSON 5 TO HEAD OF HOUSEHOLD
YEAR,SJOBTIME AT CURRENT JOB
COLSCI,R HAS TAKEN ANY COLLEGE-LEVEL SCI COURSE 
PROUDPOL,HOW PROUD ITS POLITICAL INFLUENCE IN THE WORLD   
WWWMIN,OMINUTES PER WEEK USING OTHER COMPUTER WWW
EARNRS,HOW MANY IN FAMILY EARNED MONEY
STRESS,ESHOW LIKELY X S SITUATION CAUSED BY STRESS
GENDER14,GENDER OF 14TH PERSON (VISITOR)
UNRELAT,NUMBER IN HOUSEHOLD NOT RELATED
BALNEG,SCI RESEARCH IS STRONGLY IN FAVOR OF HARMFUL RESULTS
HRSRELAX,HOURS PER DAY R HAVE TO RELAX
NAFTA2A,AMERICA BENEFITS FROM BEING A MEMBER OF NAFTA?   
TRUST,CRTWOULD TRUST THE COURTS                  
RELHH6,RELATIONSHIP OF PERSON 6 TO HEAD OF HOUSEHOLD
ADULTS,HOUSEHOLD MEMBERS 18 YRS AND OLDER
WKSUB,SDOES SUPERVISOR HAVE SUPERVISOR
EDUC,3EDUCATION LEVEL OF PERSON #3
SPKLANG,3WHAT LANGUAGE(S) DO YOU SPEAK WELL?             
LASERS,SCI KNOWLEDGE: LASERS WORK BY FOCUSING SOUND WAVES
FEHIRE,SHOULD HIRE AND PROMOTE WOMEN                            
SEX,EDUCSEX EDUCATION IN PUBLIC SCHOOLS
BACKPAIN,R HAD BACK PAIN IN THE PAST 12 MONTHS
DIABETES,TOLD HAVE DIABETES
EMAILHR,EMAIL HOURS PER WEEK
FEEUSED,FEE GIVEN TO GET CASE
OLD12,AGE OF 12TH PERSON (VISITOR)
RELATE14,RELATION OF 14TH PERSON (VISITOR) TO HEAD
PROUDEMP,R PROUD TO WORK FOR EMPLOYER
NATRACE,ZIMPROVING CONDITIONS OF BLACKS -- VER Z
RINCOM06,RESPONDENTS INCOME
WATCHGOV,HOW IMPORTANT TO KEEP WATCH ON ACTION OF GOVT  
WKRACISM,R FEELS DISCRIMINATED BECAUSE OF RACE
WORDF,WORD F
AWAY1,2IS 12TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
MAR1,3MARITAL STATUS OF 13TH PERSON (VISITOR)
SUICIDE3,SUICIDE IF DISHONORED FAMILY
WHERE9,WHERE IS 9TH PERSON STAYING?
WRKSCHED,USUAL WORK SCHEDULE
LNGTHINV,HOW LONG WAS INTERVIEW
INCOME,16TOTAL FAMILY INCOME
INTRHOME,INTERNET ACCESS IN R'S HOME
XMOVIE,SEEN X-RATED MOVIE IN LAST YEAR
DISCPOL,HOW OFTEN R DISCUSS POLITICS  
PILLOK,YBIRTH CONTROL TO TEENAGERS 14-16 (FORM 2)
NATSPAC,ZSPACE EXPLORATION -- VERSION Z
SEX,"SEX18SINCE AGE 18, HAVE YOUR SEX PARTNERS BEEN–"
BETTRLFE,SCIENCE MAKES OUR LIVES BETTER
NATSCI,SUPPORTING SCIENTIFIC RESEARCH        
FORM,LTRNDID IT INCLUDE FORMAL TRAINING COURSE         
GRASS,YSHOULD MARIJUANA BE LEGAL-VERSION Y
FORLAND,FOREIGNERS SHOULD NOT BE ALLOWED TO BUY LAND  
USCITZN,IS R US CITIZEN
PASEI10EDUC,PERCENTAGE OF SOME COLLEGE EDUC IN PAOCC10 BASED ON ACS 2010
SEI10INC,PERCENTAGE OF $45K+ EARNERS IN OCC10 BASED ON ACS 2010
JOBFIND1,HOW EASY FOR R TO FIND A SAME JOB
MARBLK,CLOSE RELATIVE MARRY BLACK
SEX,SEX5SEX OF SEX PARTNERS LAST FIVE YEARS
RELATE3,RELATIONSHIP OF 3RD PERSON TO HOUSEHOLD HEAD
CHNGEOTH,HOW OFTEN R TRY TO PERSUADE OTHER TO SHARE VIEWS  
FRINGEOK,FRINGE BENEFITS ARE GOOD
GRANBORN,HOW MANY GRANDPARENTS BORN OUTSIDE U.S.
MAR1,0MARITAL STATUS OF 10TH PERSON
LETIN1,NUMBER OF IMMIGRANTS TO AMERICA NOWADAYS SHOULD BE      
OBEYLAWS,HOULD PEOPLE OBEY LAWS WITHOUT EXCEPTN?
VOTEELEC,HOW IMPORTANT ALWAYS TO VOTE IN ELECTIONS  
NEWS,FROMMAIN SOURCE OF INFORMATION ABOUT EVENTS IN THE NEWS
CLOSEWHT,HOW CLOSE FEEL TO WHITES  
GENDER4,GENDER OF 4TH PERSON
MNTLHLTH,DAYS OF POOR MENTAL HEALTH PAST 30 DAYS
PHYSHLTH,DAYS OF POOR PHYSICAL HEALTH PAST 30 DAYS
ETH1,1ST MENTIONED COUNTRY OF ORIGIN                     
WORKBLKS,HARD WORKING - LAZY
LIVEBLKS,NEIGHBORHOOD HALF BLACK
CONTV,YTELEVISION -- VERSION Z
WEIGHT,R WEIGHS HOW MUCH
WKSUP,1DOES R OR SPOUSE OR PARTNER SUPERVISE ANYONE
PATRIOT3,PATRIOTIC FEELINGS ARE NEEDED FOR AMERICA TO REMAIN UNITED
POWRORGS,INTL ORGS TAKE AWAY MUCH POWER FROM AMERICAN GOVT 
SPPRES10,5PLUSSPOUSE OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
FEAR,AFRAID TO WALK AT NIGHT IN NEIGHBORHOOD
SPKLANG,2WHAT LANGUAGE(S) DO YOU SPEAK WELL?             
RACMEET,ALLOWED TO HOLD PUB MEETING FOR RACIST  
EDUC,4EDUCATION LEVEL OF PERSON #4
ETHNIC,COUNTRY OF FAMILY ORIGIN 
NATHEALY,HEALTH -- VERSION Y
RACE,SEEOBSERVED RACE
REVMEET,ALLOWED TO HOLD PUB MEETING FOR PPL WHO WANT OVERTHROW
USWAR,YEXPECT U.S. IN WORLD WAR IN 10 YEARS
PAWRKSLF,FATHER SELF-EMP. OR WORKED FOR SOMEBODY
AWAY10,IS 10TH PERSON STAYING SOMEWHERE ELSE NOW?
MAR5,MARITAL STATUS OF 5TH PERSON
STOCKVAL,TOTAL DOLLAR VALUE OF RS STOCK
WHOELSE5,PRESENCE OF OTHERS: OTHER ADULTS
MAR6,MARITAL STATUS OF 6TH PERSON
WKSUP,SDOES SUBORDINATE SUPERVISE ANYONE
OLD1,1AGE OF 11TH PERSON (VISITOR)
RANK,10RS SOCIAL RANK 10 YEARS AGO
SERVEPEO,HOW COMMITTED GOVT ADMNSTRATORS ARE TO SERVE PEOPLE  
AWAY9,IS 9TH PERSON STAYING SOMEWHERE ELSE NOW?
MAR7,MARITAL STATUS OF 7TH PERSON
WORDH,WORD H
WEBMOB,R USES HOME INTERNET THROUGH MOBILE DEVICE
POLABUSE,CITIZEN SAID VULGAR OR OBSCENE THINGS
AGE,DSHOULD AGED LIVE WITH THEIR CHILDREN
PAPRES10,5PLUSFATHER'S OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
FUND,16HOW FUNDAMENTALIST WAS R AT AGE 16
CHOICES,POLITICAL PARTIES DON'T GIVE REAL POLICY CHOICES  
GOD,CHNGEDESCRIBE YOUR BELIEFS ABOUT GOD
VOLCHRTY,R DONE VOLUNTEER WORK FOR A CHARITY
AWAY5,IS 5TH PERSON STAYING SOMEWHERE ELSE NOW?
SPOCC10,SPOUSE CENSUS OCCUPATION CODE (2010)
RELATE5,RELATIONSHIP OF 5TH PERSON TO HOUSEHOLD HEAD
WWWHR,OHOURS PER WEEK USING OTHER COMPUTER WWW
FEFAM,"BETTER FOR MAN TO WORK, WOMAN TEND HOME"
RELHHD12,RELATION OF 12TH PERSON (VISITOR) TO HEAD
RACE,THBLPOINTS ASSIGNED TO BLACK/AFRICAN AMERICAN
WHERE1,0WHERE IS 1OTH PERSON STAYING?
EXTRAYR,YEAR OF THE MOST RECENT PERF BASED PAYMENTS
HIVTEST2,WHERE DID YOU HAVE YOUR LAST HIV TEST
NEWS,30R USE NEWS SITE IN PAST 30 DAYS
RACE,THWHPOINTS ASSIGNED TO WHITE
SAMPLE,SAMPLING FRAME AND METHOD
AWAY11,IS 11TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
LIVEWHTS,R FAVORS LIVING IN HALF WHITE NEIGHBORHOOD
PRETEEN,HOUSEHOLD MEMBERS 6 THRU 12 YRS OLD
AWAY7,IS 7TH PERSON STAYING SOMEWHERE ELSE NOW?
MAR13,MARITAL STATUS OF 13TH PERSON (VISITOR)
HHTYPE1,HOUSEHOLD TYPE (CONDENSED)
PROUDECO,HOW PROUD AMERICA'S ECONOMIC ACHIEVEMENTS        
COURTS,COURTS DEALING WITH CRIMINALS
RELHHD1,2RELATION OF 12TH PERSON (VISITOR) TO HEAD
ABDEFECT,STRONG CHANCE OF SERIOUS DEFECT
WWWMIN,HMINUTES PER WEEK USE COMPUTER WWW
MUSTWORK,MANDATORY TO WORK EXTRA HOURS
HIVVAC,THERE IS A VACCINE THAT CAN PREVENT HIV
JOBMEANS,WORK IMPORTANT AND FEEL ACCOMPLISHMENT
SEXSEX,SEX OF SEX PARTNERS IN LAST YEAR
FAMVSWK,HOW OFTEN FAM LIFE INTERFERE JOB
RPLACE,R'S RELATIONSHIP TO HOUSEHOLD HEAD
SOCFREND,SPEND EVENING WITH FRIENDS
AWAY2,IS 2ND PERSON STAYING SOMEWHERE ELSE NOW?
TAX,RICHTAXES ON HIGH INCOME PEOPLE TOO HIGH
RELSP6,RELATIONSHIP OF PERSON 6 TO SPOUSE OF HOUSEHOL
TAX,SERVEFAVOR CONSCRIPTION GIVEN TAXES?
DIVORCE,EVER BEEN DIVORCED OR SEPARATED
NATHEAL,YHEALTH -- VERSION Y
RELHH13,RELATIONSHIP OF PERSON 13 TO HEAD OF HOUSEHOLD
IMMRGHTS,LEGAL IMMIGRANTS SHOULD HAVE SAME RIGHT AS AMERICAN 
PARTNERS,HOW MANY SEX PARTNERS R HAD IN LAST YEAR
RELHH11,RELATIONSHIP OF PERSON 11 TO HEAD OF HOUSEHOLD
SUICIDE2,SUICIDE IF BANKRUPT
SEXEDUC,SEX EDUCATION IN PUBLIC SCHOOLS
RELHHD8,RELATION OF 8TH PERSON TO HOUSEHOLD HEAD
SEI10,R'S SOCIOECONOMIC INDEX (2010)
SLPPRBLM,TROUBLE SLEEPING LAST 12 MONTHS
SPSEI10,R'S SPOUSE'S SOCIOECONOMIC INDEX (2010)
PEOPTRBL,ASSISTING PEOPLE IN TROUBLE IS VERY IMPORTANT
YEAR,GSS YEAR FOR THIS RESPONDENT                       
PRESTG105PLUS,RS OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
OLD10,AGE OF 1OTH PERSON
CONBUS,YMAJOR COMPANIES -- VERSION Z
EDUC,OPEQUAL OPPORTUNITY TO OBTAIN EDUCATION?
MAR1,1MARITAL STATUS OF 11TH PERSON (VISITOR)
NOTVOTE,CITIZENS HAVE RIGHT NOT TO VOTE
ID,U30R INJECT DRUGS IN PAST 30 DAYS
BIBLE,1DESCRIBE YOUR FEELINGS ABOUT THE BIBLE
OLD8,AGE OF 8TH PERSON
PRAY,HOW OFTEN DOES R PRAY
RACDIF1,DIFFERENCES DUE TO DISCRIMINATION
RACECEN2,WHAT IS RS RACE 2ND MENTION
RELHHD3,RELATION OF 3RD PERSON TO HOUSEHOLD HEAD
RES2010,WAS R LIVING IN USA DURING APRIL-JUNE 2010
DEM10FUT,HOW WELL WILL DEMOCRACY WORK IN AMERICA IN TEN YRS  
TAX,SPENDCHOICE BETWEEN REDUCING TAXES OR SPENDING MORE          
LETDIE1,YALLOW INCURABLE PATIENTS TO DIE (FORM 2)
WHERE14,WHERE IS 14TH PERSON (VISITOR) STAYING?
YEAR,BIZYEAR BUSINESS STARTED
FORMWT,WEIGHT DEAL WITH EXPERIMENTAL RANDOMIZATION
ATTEND,PAFREQ OF R'S DAD'S RELIG SVC ATTENDANCE
YEARVAL,TOTAL DOLLAR VALUE OF PAYMENTS IN THAT YEAR
ELECFAIR,HOW FAIR LAST NATL ELECTION: OPPRTUNITIES OF CANDIDATE
NATENVIY,THE ENVIRONMENT -- VERSION Y
AMCIT,IZNAGREE I WOULD RATHER BE A CITIZEN OF AMERICA     
CLOSEBLK,HOW CLOSE FEEL TO BLACKS  
INTLBLKS,UNINTELLIGENT - INTELLIGENT
ATTEND,MAFREQ OF R'S MOM'S RELIG SVC ATTENDANCE
COLMIL,ALLOW MILITARIST TO TEACH
