Var_Name,Var_Text
MAR1,4MARITAL STATUS OF 14TH PERSON (VISITOR)
GENDER8,GENDER OF 8TH PERSON
LENTTO,LENT MONEY TO ANOTHER PERSON PAST 12 MONTHS
RELACTIV,HOW OFTEN DOES R TAKE PART IN RELIG ACTIVITIES
VSTRAT,VARIANCE STRATUM
FINLCOUN,HOW SCIENTIFIC IS FINANCIAL COUNSELING
FEPOL,YMEN OR WOMEN BETTER SUITED FOR POLITICS
SEXSEX5,SEX OF SEX PARTNERS LAST FIVE YEARS
GENDER5,GENDER OF 5TH PERSON
MARHISP,CLOSE RELATIVE MARRY HISPANIC
NATMASS,MASS TRANSPORTATION
OTHLANG,1WHAT OTHER LANGUAGES DOES R SPEAK
POSSLQ,DOES R HAVE MARITAL PARTNER
DENYRAIS,DENIED RAISE WITHOUT REASON AT WORK
AWAY1,1IS 11TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
MAEDUC,"HIGHEST YEAR SCHOOL COMPLETED, MOTHER"
WLTHWHTS,RICH - POOR
MODE,INTERVIEW DONE IN-PERSON OR OVER THE PHONE
SEX,RESPONDENTS SEX
WORDE,WORD E
VERSION,VERSION OF QUESTIONNAIRE
PAPRES105PLUS,FATHER'S OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
DIRECTNS,R HAS GIVEN DIRECTIONS TO A STRANGER
KIDJOY,KIDS ARE LIFE'S GREATEST JOY
NEWS,HOW OFTEN DOES R READ NEWSPAPER
TWOINCS1,BOTH MEN AND WOMEN SHOULD CONTRIBUTE TO INCOME
WHERE11,WHERE IS 11TH PERSON (VISITOR) STAYING?
UNION,DOES R OR SPOUSE BELONG TO UNION
RUMORWK,RUMORS OR GOSSIP ABOUT R AT WORK
NATCITY,ZSOLVING PROBLEMS OF BIG CITIES -- VER Z
MAR1,2MARITAL STATUS OF 12TH PERSON (VISITOR)
EVOLVED,2ELEPHANTS EVOLVED FROM EARLIER SPECIES: TRUE OR FALSE
GOD,GUIDEFEEL GUIDED BY GOD IN DAILY ACTIVITIES
FEPRESCH,PRESCHOOL KIDS SUFFER IF MOTHER WORKS
MARELIG,WHAT WAS MOTHERS RELIGIOUS PREFERENCE
ENGEARN,ENGINEERS EARN LESS
PAEDUC,"HIGHEST YEAR SCHOOL COMPLETED, FATHER"
LACKINFO,PPL AT WORK FAIL TO GIVE R NECESSARY INFO
POPESPKS,POPE IS INFALLIBLE ON MATTERS OF FAITH OR MORALS
NATFARE,WELFARE
CONVICTD,CONVICTED OF CRIME EVER
CHILDS,NUMBER OF CHILDREN
GRASS,SHOULD MARIJUANA BE MADE LEGAL
HISPANIC,HISPANIC SPECIFIED
AGE,WEDAGE WHEN FIRST MARRIED
PAOCCINDV,FATHER'S OCC/IND VERBATIM RETRIEVED
EQWLTH,SHOULD GOVT REDUCE INCOME DIFFERENCES
POLHITOK,EVER APPROVE OF POLICE STRIKING CITIZEN
RELIG,INTRELIGIOUS PEOPLE ARE OFTEN TOO INTOLERANT     
OBEY,TCHIMPORTANT TO OBEY CHURCH TEACHINGS
RACE,DBTFCERTAINTY OF OBSERVED RACE
ASTROLGY,EVER READ A HOROSCOPE OR PERSONAL ASTROLOGY REPORT
SELFLESS,R FEELS LIKE A SELFLESS CARING FOR OTHERS
SOLARREV,SCI KNOWLEDGE: HOW LONG THE EARTH GOES AROUND THE SUN
TICKET,EVER RECEIVED A TRAFFIC TICKET
SPDEN,16DENOMINATION IN WHICH SPOUSE RAISED
RELHH14,RELATIONSHIP OF PERSON 14 TO HEAD OF HOUSEHOLD
SELFFRST,PEOPLE NEED NOT OVERLY WORRY ABOUT OTHERS
POLESCAP,CITIZEN ATTEMPTING TO ESCAPE CUSTODY
RELATE4,RELATIONSHIP OF 4TH PERSON TO HOUSEHOLD HEAD
FEJOBAFF,FOR OR AGAINST PREFERENTIAL HIRING OF WOMEN      
FAIR,EARNHOW FAIR IS WHAT R EARN ON THE JOB
DWELLING,TYPE OF STRUCTURE
ETH2,2ND MENTIONED COUNTRY OF ORIGIN                     
OVERSAMP,WEIGHTS FOR BLACK OVERSAMPLES
KD2RELIG,RELIGION OF R'S CHILD 2
SPHRS2,NO. OF HRS SPOUSE USUALLY WORKS A WEEK
TEENSEX,1MORALITY OF TEENS HAVING SEX
NATRACEY,ASSISTANCE TO BLACKS -- VERSION Y
BALPOS,SCI RESEARCH IS STRONGLY IN FAVOR OF BENEFITS
MAR2,MARITAL STATUS OF 2ND PERSON
KD1JWOTH,R'S CHILD 1 CONSIDERED JEWISH
NEWS,KILLI WOULD ACCEPT JOB THAT REQUIRES NEW SKILLS
VISITORS,NUMBER OF VISITORS IN HOUSEHOLD
AGE,WEDCRRS AGE AT CURRENT MARRIAGE
MAWORK14,DID MOM WORK BEFORE R WAS 14 YRS OLD
WKSUPS,DOES SUBORDINATE SUPERVISE ANYONE
SPEVWORK,SPOUSE EVER WORK AS LONG AS A YEAR
SATFIN,SATISFACTION WITH FINANCIAL SITUATION
ID,RESPONDENT ID NUMBER                                
BMITZVAH,R HAD BAR OR BAT MITZVAH WHEN R WAS A CHILD
ABSINGLE,NOT MARRIED
MAR8,MARITAL STATUS OF 8TH PERSON
CARESIK1,WHO IN HOUSEHOLD CARES FOR SICK IN FAMILY
CONFINAN,CONFID IN BANKS & FINANCIAL INSTITUTIONS
RELSP1,RELATIONSHIP OF PERSON 1 TO SPOUSE OF HOUSEHOL
MAR12,MARITAL STATUS OF 12TH PERSON (VISITOR)
WORDD,WORD D
PRAYER,XBIBLE PRAYER IN SCHOOLS -- VERSION Z
WRKSLF,STR 1ST JOB: SELF-EMPLOYED OR NO?
RELIG,5RELIGIOUS PREFERENCE OF PERSON #5
EQWLTH,YGOVT REDUCE INCOME DIFFERENCES-VERSION Y
SCIENTRE,SCIENTISTS NOT RELIGIOUS
BABIES,HOUSEHOLD MEMBERS LESS THAN 6 YRS OLD
ENGPROB,ENGINEERS HELP SOLVE PROB
REGION,REGION OF INTERVIEW
EVPAIDSX,EVER HAVE SEX PAID FOR OR BEING PAID SINCE 18
GENDER7,GENDER OF 7TH PERSON
SPJOTH16,R'S SPOUSE RAISED JEWISH
TREATRES,PEOPLE ARE TREATED WITH RESPECT
PAISCO88,"R'S FATHER'S OCCUPATION, 1980 CENSUS & 1988 ISCO CODE"
EMAILMIN,EMAIL MINUTES PER WEEK
INTRACE3,INTERVIEWER S RACE3
NATDRUG,DEALING WITH DRUG ADDICTION
WTSS,NRWEIGHT VARIABLE
PHONE,DOES R HAVE TELEPHONE
RELATE1,3RELATION OF 13TH PERSON (VISITOR) TO HEAD
LOCALNUM,NUMBER OF EMPLOYEES: RS WORK SITE
SPKHOMO,ALLOW HOMOSEXUAL TO SPEAK
RELHH1,4RELATIONSHIP OF PERSON 14 TO HEAD OF HOUSEHOLD
PARSOL,RS LIVING STANDARD COMPARED TO PARENTS
RELSP11,RELATIONSHIP OF PERSON 11 TO SPOUSE OF HOUSEHO
ECONSCI,HOW SCIENTIFIC: ECONOMICS
FORM,FORM OF SPLIT QUESTIONNAIRE ASKED
RELHH5,RELATIONSHIP OF PERSON 5 TO HEAD OF HOUSEHOLD
RACE,SELFR'S OWN RACIAL ID
WKNDACT,WHO DECIDES WEEKEND ACTIVITIES
YEAR,SJOBTIME AT CURRENT JOB
COLSCI,R HAS TAKEN ANY COLLEGE-LEVEL SCI COURSE 
WWWMIN,OMINUTES PER WEEK USING OTHER COMPUTER WWW
EARNRS,HOW MANY IN FAMILY EARNED MONEY
GENDER14,GENDER OF 14TH PERSON (VISITOR)
UNRELAT,NUMBER IN HOUSEHOLD NOT RELATED
BALNEG,SCI RESEARCH IS STRONGLY IN FAVOR OF HARMFUL RESULTS
SINGLPAR,SINGLE PARENTS CAN RAISE KIDS AS WELL AS TWO
POLEFY3,AVG CITIZEN INFLUENCE ON POLITICS
TRUST,CRTWOULD TRUST THE COURTS                  
RELHH6,RELATIONSHIP OF PERSON 6 TO HEAD OF HOUSEHOLD
ADULTS,HOUSEHOLD MEMBERS 18 YRS AND OLDER
WKSUB,SDOES SUPERVISOR HAVE SUPERVISOR
EDUC,3EDUCATION LEVEL OF PERSON #3
SPKLANG,3WHAT LANGUAGE(S) DO YOU SPEAK WELL?             
OCCSTATUS,OCC10 CODING STATUS
LASERS,SCI KNOWLEDGE: LASERS WORK BY FOCUSING SOUND WAVES
FEHIRE,SHOULD HIRE AND PROMOTE WOMEN                            
FEEUSED,FEE GIVEN TO GET CASE
OLD12,AGE OF 12TH PERSON (VISITOR)
EMAILHR,EMAIL HOURS PER WEEK
RELATE14,RELATION OF 14TH PERSON (VISITOR) TO HEAD
RINCOM06,RESPONDENTS INCOME
WKRACISM,R FEELS DISCRIMINATED BECAUSE OF RACE
WORDF,WORD F
NATRACE,ZIMPROVING CONDITIONS OF BLACKS -- VER Z
MAR1,3MARITAL STATUS OF 13TH PERSON (VISITOR)
AWAY1,2IS 12TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
SUICIDE3,SUICIDE IF DISHONORED FAMILY
LNGTHINV,HOW LONG WAS INTERVIEW
INCOME,16TOTAL FAMILY INCOME
INTRHOME,INTERNET ACCESS IN R'S HOME
XMOVIE,SEEN X-RATED MOVIE IN LAST YEAR
PILLOK,YBIRTH CONTROL TO TEENAGERS 14-16 (FORM 2)
NATSPAC,ZSPACE EXPLORATION -- VERSION Z
SEX,"SEX18SINCE AGE 18, HAVE YOUR SEX PARTNERS BEEN–"
NATSCI,SUPPORTING SCIENTIFIC RESEARCH        
FORM,LTRNDID IT INCLUDE FORMAL TRAINING COURSE         
GRASS,YSHOULD MARIJUANA BE LEGAL-VERSION Y
USCITZN,IS R US CITIZEN
PASEI10EDUC,PERCENTAGE OF SOME COLLEGE EDUC IN PAOCC10 BASED ON ACS 2010
SEI10INC,PERCENTAGE OF $45K+ EARNERS IN OCC10 BASED ON ACS 2010
MARBLK,CLOSE RELATIVE MARRY BLACK
SEX,SEX5SEX OF SEX PARTNERS LAST FIVE YEARS
RELATE3,RELATIONSHIP OF 3RD PERSON TO HOUSEHOLD HEAD
POLEFF3,AVG PERSON CAN INFLUENCE POLITICIANS
GRANBORN,HOW MANY GRANDPARENTS BORN OUTSIDE U.S.
MAR1,0MARITAL STATUS OF 10TH PERSON
KIDFINBU,CHILDREN ARE FINANCIAL BURDEN ON PARENTS
LETIN1,NUMBER OF IMMIGRANTS TO AMERICA NOWADAYS SHOULD BE      
NEWS,FROMMAIN SOURCE OF INFORMATION ABOUT EVENTS IN THE NEWS
POLEFF15,MOST PEOPLE BETTER INFORMED ABOUT POLITICS THAN I       
CLOSEWHT,HOW CLOSE FEEL TO WHITES  
GENDER4,GENDER OF 4TH PERSON
MNTLHLTH,DAYS OF POOR MENTAL HEALTH PAST 30 DAYS
PARELIG,WHAT WAS FATHERS RELIGIOUS PREFERENCE
ETH1,1ST MENTIONED COUNTRY OF ORIGIN                     
MEDSCI,HOW SCIENTIFIC: MEDICINE
LIVEBLKS,NEIGHBORHOOD HALF BLACK
WORKBLKS,HARD WORKING - LAZY
CONTV,YTELEVISION -- VERSION Z
WKSUP,1DOES R OR SPOUSE OR PARTNER SUPERVISE ANYONE
SPPRES10,5PLUSSPOUSE OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
FEAR,AFRAID TO WALK AT NIGHT IN NEIGHBORHOOD
SPKLANG,2WHAT LANGUAGE(S) DO YOU SPEAK WELL?             
EDUC,4EDUCATION LEVEL OF PERSON #4
ETHNIC,COUNTRY OF FAMILY ORIGIN 
NATHEALY,HEALTH -- VERSION Y
PAIDLV,DVMOTHER OR FATHER PAID LEAVE
RACE,SEEOBSERVED RACE
USWAR,YEXPECT U.S. IN WORLD WAR IN 10 YEARS
PAWRKSLF,FATHER SELF-EMP. OR WORKED FOR SOMEBODY
MAR5,MARITAL STATUS OF 5TH PERSON
PAIDLVPY,WHO PAYS FOR LEAVE
VISLIB,HOW OFTEN R VISITED PUBLIC LIBRARY LAST YEAR
WHOELSE5,PRESENCE OF OTHERS: OTHER ADULTS
MAR6,MARITAL STATUS OF 6TH PERSON
WKSUP,SDOES SUBORDINATE SUPERVISE ANYONE
OLD1,1AGE OF 11TH PERSON (VISITOR)
RANK,10RS SOCIAL RANK 10 YEARS AGO
WORDH,WORD H
MAR7,MARITAL STATUS OF 7TH PERSON
WEBMOB,R USES HOME INTERNET THROUGH MOBILE DEVICE
POLABUSE,CITIZEN SAID VULGAR OR OBSCENE THINGS
AGE,DSHOULD AGED LIVE WITH THEIR CHILDREN
PAPRES10,5PLUSFATHER'S OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
FUND,16HOW FUNDAMENTALIST WAS R AT AGE 16
KIDNUM,NUMBER OF CHILDREN AGE 18 AND OLDER
GOD,CHNGEDESCRIBE YOUR BELIEFS ABOUT GOD
SCIENTHE,SCIENTISTS HELP SOLVE PROB
VOLCHRTY,R DONE VOLUNTEER WORK FOR A CHARITY
AWAY5,IS 5TH PERSON STAYING SOMEWHERE ELSE NOW?
SPOCC10,SPOUSE CENSUS OCCUPATION CODE (2010)
SCIENTBE,SCIENTISTS WANT TO MAKE LIFE BETTER FOR AVG PERSON
RELATE5,RELATIONSHIP OF 5TH PERSON TO HOUSEHOLD HEAD
WWWHR,OHOURS PER WEEK USING OTHER COMPUTER WWW
FEFAM,"BETTER FOR MAN TO WORK, WOMAN TEND HOME"
RELHHD12,RELATION OF 12TH PERSON (VISITOR) TO HEAD
RACE,THBLPOINTS ASSIGNED TO BLACK/AFRICAN AMERICAN
RHHWORK,HOW MANY HOURS A WEEK DOES R SPEND ON HH WORK
HIVTEST2,WHERE DID YOU HAVE YOUR LAST HIV TEST
WHERE1,0WHERE IS 1OTH PERSON STAYING?
NEWS,30R USE NEWS SITE IN PAST 30 DAYS
RACE,THWHPOINTS ASSIGNED TO WHITE
SAMPLE,SAMPLING FRAME AND METHOD
AWAY11,IS 11TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
LIVEWHTS,R FAVORS LIVING IN HALF WHITE NEIGHBORHOOD
PRETEEN,HOUSEHOLD MEMBERS 6 THRU 12 YRS OLD
MAR13,MARITAL STATUS OF 13TH PERSON (VISITOR)
AWAY7,IS 7TH PERSON STAYING SOMEWHERE ELSE NOW?
HHTYPE1,HOUSEHOLD TYPE (CONDENSED)
COURTS,COURTS DEALING WITH CRIMINALS
POLEFY16,HOW OFTEN CONGRESS KEEPS PROMISES
RELHHD1,2RELATION OF 12TH PERSON (VISITOR) TO HEAD
ABDEFECT,STRONG CHANCE OF SERIOUS DEFECT
WWWMIN,HMINUTES PER WEEK USE COMPUTER WWW
JOBMEANS,WORK IMPORTANT AND FEEL ACCOMPLISHMENT
SEXSEX,SEX OF SEX PARTNERS IN LAST YEAR
RPLACE,R'S RELATIONSHIP TO HOUSEHOLD HEAD
SOCFREND,SPEND EVENING WITH FRIENDS
AWAY2,IS 2ND PERSON STAYING SOMEWHERE ELSE NOW?
TAX,RICHTAXES ON HIGH INCOME PEOPLE TOO HIGH
RELSP6,RELATIONSHIP OF PERSON 6 TO SPOUSE OF HOUSEHOL
TAX,SERVEFAVOR CONSCRIPTION GIVEN TAXES?
DIVORCE,EVER BEEN DIVORCED OR SEPARATED
NATHEAL,YHEALTH -- VERSION Y
RELHH13,RELATIONSHIP OF PERSON 13 TO HEAD OF HOUSEHOLD
PARTNERS,HOW MANY SEX PARTNERS R HAD IN LAST YEAR
RELHH11,RELATIONSHIP OF PERSON 11 TO HEAD OF HOUSEHOLD
SUICIDE2,SUICIDE IF BANKRUPT
SEXEDUC,SEX EDUCATION IN PUBLIC SCHOOLS
RELHHD8,RELATION OF 8TH PERSON TO HOUSEHOLD HEAD
SEI10,R'S SOCIOECONOMIC INDEX (2010)
SPSEI10,R'S SPOUSE'S SOCIOECONOMIC INDEX (2010)
YEAR,GSS YEAR FOR THIS RESPONDENT                       
PEOPTRBL,ASSISTING PEOPLE IN TROUBLE IS VERY IMPORTANT
PRESTG105PLUS,RS OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
KIDJOB,CHILDREN LIMIT EMP AND CAREER OPP FOR ONE OR BOTH PARENTS
MAR1,1MARITAL STATUS OF 11TH PERSON (VISITOR)
CONBUS,YMAJOR COMPANIES -- VERSION Z
EDUC,OPEQUAL OPPORTUNITY TO OBTAIN EDUCATION?
OLD10,AGE OF 1OTH PERSON
ID,U30R INJECT DRUGS IN PAST 30 DAYS
BIBLE,1DESCRIBE YOUR FEELINGS ABOUT THE BIBLE
OLD8,AGE OF 8TH PERSON
RES2010,WAS R LIVING IN USA DURING APRIL-JUNE 2010
PAJWOTH,R'S DAD WAS JEWISH WHEN R WAS GROWING UP
PRAY,HOW OFTEN DOES R PRAY
RACDIF1,DIFFERENCES DUE TO DISCRIMINATION
RACECEN2,WHAT IS RS RACE 2ND MENTION
RELHHD3,RELATION OF 3RD PERSON TO HOUSEHOLD HEAD
TAX,SPENDCHOICE BETWEEN REDUCING TAXES OR SPENDING MORE          
LETDIE1,YALLOW INCURABLE PATIENTS TO DIE (FORM 2)
YEAR,BIZYEAR BUSINESS STARTED
FORMWT,WEIGHT DEAL WITH EXPERIMENTAL RANDOMIZATION
ATTEND,PAFREQ OF R'S DAD'S RELIG SVC ATTENDANCE
HOUSEWRK,BEING HOUSEWIFE AS FULFILLING AS PAID WORK
NATENVIY,THE ENVIRONMENT -- VERSION Y
CLOSEBLK,HOW CLOSE FEEL TO BLACKS  
INTLBLKS,UNINTELLIGENT - INTELLIGENT
RELIG16,RELIGION IN WHICH RAISED
ATTEND,MAFREQ OF R'S MOM'S RELIG SVC ATTENDANCE
COLMIL,ALLOW MILITARIST TO TEACH
IDU30,R INJECT DRUGS IN PAST 30 DAYS
RACE,THOTPOINTS ASSIGNED TO OTHER
NATHEAL,ZIMPROVING HEALTH -- VERSION Z
RANK,RS SELF RANKING OF SOCIAL POSITION
RVISITOR,IS R A VISITOR?
ATTEND,12FREQ OF R'S RELIG SVC ATTENDANCE AT AGE 12
NATARMS,"MILITARY, ARMAMENTS, AND DEFENSE"
GENDER1,GENDER OF 1ST PERSON
IF08WHO,WHO YOU WOULD HAVE VOTED FOR
WRKSCH,EDUSUAL WORK SCHEDULE
GOD,RIGHTGOD'S LAWS SHOULD DECIDE RIGHT AND WRONG
RELIG,PUBBETTER IF MORE BELIEVERS HELD PUBLIC OFFICE
CHLDIDEL,IDEAL NUMBER OF CHILDREN
HELPJOB,HELPED SOMEBODY TO FIND A JOB PAST 12 MONTHS
ENGFUN,ENGINEERS DON™T HAVE FUN
HIVTEST,HAVE YOU EVER BEEN TESTED FOR HIV
RACECEN3,WHAT IS RS RACE 3RD MENTION
MEDTREAT,HOW SCIENTIFIC IS MEDICAL TREATMENT
RELSP1,3RELATIONSHIP OF PERSON 13 TO SPOUSE OF HOUSEHO
CONMEDIC,CONFIDENCE IN MEDICINE
RELIG,IDR'S RELIGIOUS IDENTITY                         
ARREST,EVER PICKED UP OR CHARGED BY POLICE
SATFAM7,FAMILY SATISFACTION IN GENERAL
LETDIE1,ALLOW INCURABLE PATIENTS TO DIE
SCIENTSN,HAPPY IF SON SCIENTIST
COOP,2RS ATTITUDE TOWARD INTERVIEW
EVLOSEJB,"IN LIFE, R HAS EVER BEEN DENIED A JOB OR FIRED BC EMPLOYERS BELIEVED R WAS GAY/LE"
FUND16,HOW FUNDAMENTALIST WAS R AT AGE 16
GOD,SELLSRELIGIOUS IMAGE TO SELL PRODUCTS 
DISCAFFW,HITES HURT BY AFF. ACTION
FAMWKBST,BEST WAY TO ORG FAMILY WORK LIFE WITH UNDER SCHOOL AGE CHILD
HELPNOT,SHOULD GOVT DO MORE OR LESS?
ABNOMORE,MARRIED--WANTS NO MORE CHILDREN
