Survey_Number,Var_Name,Var_Text
5,RETCHNGE,R RETURNED MONEY AFTER GETTING TOO MUCH CHANGE
5,DISCAFFW,A WOMAN WON'T GET A JOB OR PROMOTION             
5,VISNHIST,HOW OFTEN R VISITED NATURAL HISTORY MUSEUM LAST YEAR
5,NATFARE,ZCARING FOR THE POOR -- VERSION Z
5,RACDIF2,DIFFERENCES DUE TO INBORN DISABILITY
5,GOD,LVDIRFEEL GODS LOVE FOR R DIRECTLY
5,EARNSHH,HUBBY OR WIFE EARNS MORE DOLLARS
5,INTSCI,INTERESTED IN NEW SCIENTIFIC DISCOVERIES
5,JOBSECOK,THE JOB SECURITY IS GOOD
5,NATAID,FOREIGN AID
5,RELPERSN,R CONSIDER SELF A RELIGIOUS PERSON    
5,POLMURDR,CITIZEN QUESTIONED AS MURDER SUSPECT
5,WHENCOL,WHEN RECEIVED COLLEGE DEGREE
5,SELFFRST,PEOPLE NEED NOT OVERLY WORRY ABOUT OTHERS
5,WKSUP,1DOES R OR SPOUSE OR PARTNER SUPERVISE ANYONE
5,SCIENTAL,SCIENTISTS USUALLY WORK ALONE
5,CSHUTYP10,"DURING APRIL-JUNE 2010, WAS R RESIDENT IN HOUSEHOLD OR INSTITUTION"
5,FEJOBAFF,FOR OR AGAINST PREFERENTIAL HIRING OF WOMEN      
5,OLD8,AGE OF 8TH PERSON
5,SPFUND,HOW FUNDAMENTALIST IS SPOUSE CURRENTLY
5,WWWHR,HHOURS PER WEEK USE COMPUTER WWW
5,XMARSEX,1IS EXTRAMARITAL SEX WRONG?
5,KD1JWOTH,R'S CHILD 1 CONSIDERED JEWISH
5,INTSPACE,INTERESTED IN SPACE EXPLORATION
5,RELSP13,RELATIONSHIP OF PERSON 13 TO SPOUSE OF HOUSEHO
5,SCIENTFU,SCIENTISTS DON™T HAVE FUN
5,SPSECTOR,TYPE OF COLLEGE SPOUSE ATTENDED
5,PARTNERS,HOW MANY SEX PARTNERS R HAD IN LAST YEAR
5,SEX,5SEX OF PERSON NUMBER 5
5,NUMKIDS,WHAT IS IDEAL NUMBER OF KIDS FOR FAMILY
5,SPHRS2,NO. OF HRS SPOUSE USUALLY WORKS A WEEK
5,SPDEN,16DENOMINATION IN WHICH SPOUSE RAISED
5,RELATSEX,RELATION TO LAST SEX PARTNER
5,ID,OLSCATHOLICS ARE IDOLS
5,OWNGUN,HAVE GUN IN HOME
5,UNION,1DOES R OR SPOUSE OR PARTNER BELONG TO UNION
5,MAISCO88,"R'S MOTHER'S OCCUPATION, 1980 CENSUS & 1988 ISCO CODE"
5,OBEY,TO OBEY
5,DWELOWN,DOES R OWN OR RENT HOME?
5,NATEDUC,ZIMPROVING THE EDUCATION SYSTEM -- VER Z
5,NATHEAL,ZIMPROVING HEALTH -- VERSION Z
5,EDUC,5EDUCATION LEVEL OF PERSON #5
5,BARATE,RATE OF BA DEGREE EARNING IN COLLEGE RESPONDENT ATTENDED
5,RELIG,30R USE RELIGION SITE IN PAST 30 DAYS
5,CLOSEBLK,HOW CLOSE FEEL TO BLACKS  
5,FAMGEN,NUMBER OF FAMILY GENERATIONS IN HOUSEHOLD
5,BOYORGRL,SCI KNOWLEDGE: FATHER GENE DECIDES SEX OF BABY
5,LIBMSLM,ALLOW ANTI-AMERICAN MUSLIM CLERGYMEN'S BOOKS IN LIBRARY
5,LIFE,IS LIFE EXCITING OR DULL
5,WKSUP,SDOES SUBORDINATE SUPERVISE ANYONE
5,GOD,LOVEFEEL GODS LOVE DIRECTLY OR THRU OTHERS        
5,TAX,SPENDCHOICE BETWEEN REDUCING TAXES OR SPENDING MORE          
5,PRAY,FREQHOW OFTEN DOES R PRAY
5,SPKLANG,HOW WELL DOES R SPEAK OTHER LANGUAGE
5,OTHER,4PERSON #4 IS OTHER TYPE OF ACQUAINTANCE
5,WORDA,WORD A
5,AGE,4AGE OF PERSON #4
5,UNRELAT,NUMBER IN HOUSEHOLD NOT RELATED
5,MASEI10,INCPERCENTAGE OF $45K+ EARNERS IN MAOCC10 BASED ON ACS 2010
5,INCOME,82TOTAL FAMILY INCOME
5,UNEMP,EVER UNEMPLOYED IN LAST TEN YRS
5,WHERE2,WHERE IS 2ND PERSON STAYING?
5,WRKGOVT,GOVT OR PRIVATE EMPLOYEE
5,OLD1,2AGE OF 12TH PERSON (VISITOR)
5,RACE,5RACE OF PERSON NUMBER 5
5,SPPRES10,5PLUSSPOUSE OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
5,FAIR,JEWSJEWS COMMITTED TO FAIR AND EQUAL TREATMENT OF A
5,GENDER2,GENDER OF 2ND PERSON
5,SPOTHER,OTHER PROTESTANT DENOMINATIONS
5,RELHHD5,RELATION OF 5TH PERSON TO HOUSEHOLD HEAD
5,RELHHD1,4RELATION OF 14TH PERSON (VISITOR) TO HEAD
5,HEFINFO,NUMBER OF HEF INFORMANT
5,MAOCC10,MOTHERS CENSUS OCCUPATION CODE (2010)
5,ABRAPE,PREGNANT AS RESULT OF RAPE
5,CONVICTD,CONVICTED OF CRIME EVER
5,FEPOL,YMEN OR WOMEN BETTER SUITED FOR POLITICS
5,SPKLANG,2WHAT LANGUAGE(S) DO YOU SPEAK WELL?             
5,WHERE3,WHERE IS 3RD PERSON STAYING?
5,PADEG,FATHERS HIGHEST DEGREE
5,INTECON,INTERESTED IN ECONOMIC ISSUES
5,WHERE11,WHERE IS 11TH PERSON (VISITOR) STAYING?
5,WRKSLF,STR 1ST JOB: SELF-EMPLOYED OR NO?
5,MAR1,4MARITAL STATUS OF 14TH PERSON (VISITOR)
5,AGEKDBRN,R'S AGE WHEN 1ST CHILD BORN
5,INCOME,72TOTAL FAMILY INCOME
5,MARBLK,CLOSE RELATIVE MARRY BLACK
5,RELACTIV,1HOW OFTEN DOES R TAKE PART IN RELIG ACTIVITIES
5,HEALTH1,2R USE WEB FOR HEALTH INFORMATION IN PAST 12 MON
5,YEAR,LYWHAT IS YOUR YEARLY WAGE BEFORE TAX           
5,SATJOB,7JOB SATISFACTION IN GENERAL
5,WRKSCH,SHLD WOMAN WORK AFTER YOUNGEST IN SCHOOL?
5,NATRACEY,ASSISTANCE TO BLACKS -- VERSION Y
5,OCC10,RS CENSUS OCCUPATION CODE (2010)
5,AWAY12,IS 12TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
5,PASEI10INC,PERCENTAGE OF $45K+ EARNERS IN PAOCC10 BASED ON ACS 2010
5,VOEDNME1,POSTSECONDARY INSTITUTION ATTENDED FOR CREDIT
5,SPANINT,"IF NO SPANISH, R COULD HAVE BEEN INTERVIEWED IN ENGLISH"
5,SPOCCTAG,SPOCC10 CODING TAG
5,RELIG,16RELIGION IN WHICH RAISED
5,AGE,WEDCRRS AGE AT CURRENT MARRIAGE
5,VSTRAT,VARIANCE STRATUM
5,SEX,2SEX OF PERSON NUMBER 2
5,SPHRS1,NUMBER OF HRS SPOUSE WORKED LAST WEEK
5,NEWS,12PAST 12 MONTHS R WEB TO LEARN NEWS
5,LIBATH,ALLOW ANTI-RELIGIOUS BOOK IN LIBRARY
5,INCOME,98TOTAL FAMILY INCOME
5,INCOM16,RS FAMILY INCOME WHEN 16 YRS OLD
5,MODE,INTERVIEW DONE IN-PERSON OR OVER THE PHONE
5,HUNT,1DOES R OR SPOUSE OR PARTNER HUNT
5,RELSP10,RELATIONSHIP OF PERSON 10 TO SPOUSE OF HOUSEHO
5,WEBMOB,R USES HOME INTERNET THROUGH MOBILE DEVICE
5,TAX,RS FEDERAL INCOME TAX
5,ABPOOR,1LAW SHOULD ALLOW ABORTION IF FAMILY LOW INCOME
5,CONPRESS,CONFIDENCE IN PRESS
5,RELHHD1,0RELATION OF 1OTH PERSON TO HOUSEHOLD HEAD
