,Survey_Number,Survey_ID,Survey_Name,Var_Name,Var_Text,Data_Link
38,4,PewScience,Pew Research Center 2014 GP Survey on Science,Q39,"From what you’ve heard or read, would you say scientists have a clear understanding of the health effects of genetically modified crops OR are scientists NOT clear about this?",http://bit.ly/2FbEzIP
39,4,PewScience,Pew Research Center 2014 GP Survey on Science,Q40,"Which of these statements best describes your views, even if neither is exactly right? 1 Churches and other houses of worship should express their views about policy decisions on scientific issues 2 Churches and other houses of worship should keep out of policy decisions on scientific issues 3 Neither/Both [VOL. DO NOT READ] 9 Don't know/Refused (VOL.)",http://bit.ly/2FbEzIP
40,4,PewScience,Pew Research Center 2014 GP Survey on Science,Q41,Just your impression: Do you think of scientists as...[RANDOMIZE ORDER OF:] a politically liberal group/a politically conservative group [THEN] or as neither in particular? 1 A politically liberal group 2 A politically conservative group 3 Neither in particular 9 Don't know/Refused (VOL.),http://bit.ly/2FbEzIP
41,4,PewScience,Pew Research Center 2014 GP Survey on Science,KNOSCT14,[RANDOMIZE KNOSCT14 THROUGH KNOSCT19],http://bit.ly/2FbEzIP
42,4,PewScience,Pew Research Center 2014 GP Survey on Science,KNOSCT14, 	Which of these is a major concern about the overuse of antibiotics? [READ AND ,http://bit.ly/2FbEzIP
43,4,PewScience,Pew Research Center 2014 GP Survey on Science,KNOSCT15,	Is the following statement true or false? Lasers work by focusing sound waves. [IF NECESSARY: Is this statement true or false?] ,http://bit.ly/2FbEzIP
44,4,PewScience,Pew Research Center 2014 GP Survey on Science,KNOSCT16,	Does nanotechnology deal with things that are extremely [READ AND RANDOMIZE] ,http://bit.ly/2FbEzIP
45,4,PewScience,Pew Research Center 2014 GP Survey on Science,KNOSCT17,	Which is an example of a chemical reaction? [READ AND RANDOMIZE] ,http://bit.ly/2FbEzIP
46,4,PewScience,Pew Research Center 2014 GP Survey on Science,KNOSCT18,	What is the main function of red blood cells? Is it... [READ AND RANDOMIZE],http://bit.ly/2FbEzIP
47,4,PewScience,Pew Research Center 2014 GP Survey on Science,KNOSCT19,	What gas do most scientists believe causes temperatures in the atmosphere to rise? Is it [READ AND RANDOMIZE],http://bit.ly/2FbEzIP
